wo_start_date,wo_finish_date,OrderNo,Order_Info,location_id,is_failure,cause_code,component_type
2020-06-10T00:00:00.000+0000,2020-06-10T00:00:00.000+0000,61025128,ZCS7: UPS system - replaced,Turbine 7,1,null,Controller UPS
2020-06-10T00:00:00.000+0000,2020-06-10T00:00:00.000+0000,61025175,ZCS7: Low coolant,Turbine 1,1,null,null
2020-06-10T00:00:00.000+0000,2020-06-10T00:00:00.000+0000,61025175,ZCS7: Low coolant,Turbine 1,1,null,Converter Cooling system
2020-06-10T00:00:00.000+0000,2020-06-10T00:00:00.000+0000,61025361,ZCS7: UPS battery failure,Turbine 5,1,null,null
2020-06-10T00:00:00.000+0000,2020-06-10T00:00:00.000+0000,61025361,ZCS7: UPS battery failure,Turbine 5,1,null,Controller UPS
2020-06-10T00:00:00.000+0000,2020-06-10T00:00:00.000+0000,61025572,ZCS7: 4112 : Gearoil level too low,Turbine 17,1,null,null
2020-06-10T00:00:00.000+0000,2020-06-10T00:00:00.000+0000,61025673,ZCS7:,Turbine 17,1,null,null
2020-06-10T00:00:00.000+0000,2020-06-10T00:00:00.000+0000,61026217,ZCS7: UPS bypass error - replaced ups system,Turbine 7,1,null,null
2020-06-10T00:00:00.000+0000,2020-06-10T00:00:00.000+0000,61026217,ZCS7: UPS bypass error - replaced ups system,Turbine 7,1,null,Controller UPS
2020-06-10T00:00:00.000+0000,2020-06-10T00:00:00.000+0000,61027943,ZCS7: 7101 : Hyd oil level error,Turbine 16,1,null,null
2020-06-10T00:00:00.000+0000,2020-06-10T00:00:00.000+0000,61028019,ZCS7: Low Hydro,Turbine 14,1,null,null
2020-06-10T00:00:00.000+0000,2020-06-11T00:00:00.000+0000,61028019,ZCS7: Low Hydro,Turbine 14,1,null,Hydraulics No subsystem (Hydraulics)
2020-06-10T00:00:00.000+0000,2020-06-11T00:00:00.000+0000,61028786,ZCS7: Hydraulic fluid - topped up,Turbine 13,1,null,null
2020-06-11T00:00:00.000+0000,2020-06-29T00:00:00.000+0000,61028786,ZCS7: Hydraulic fluid - topped up,Turbine 13,1,null,Hydraulics Pump station
2020-06-11T00:00:00.000+0000,2020-06-24T00:00:00.000+0000,61028889,ZCS7: Motor control valve - replaced,Turbine 7,1,null,null
2020-06-11T00:00:00.000+0000,2020-06-11T00:00:00.000+0000,61028889,ZCS7: Motor control valve - replaced,Turbine 7,1,null,Converter Cooling system
2020-06-11T00:00:00.000+0000,2020-06-11T00:00:00.000+0000,61029589,ZCS7: Gear oil - topped up,Turbine 13,1,null,null
2020-06-11T00:00:00.000+0000,2020-06-11T00:00:00.000+0000,61030337,ZCS7: Controller circuit breaker - replaced,Turbine 13,1,null,null
2020-06-11T00:00:00.000+0000,2020-06-11T00:00:00.000+0000,61030337,ZCS7: Controller circuit breaker - replaced,Turbine 13,1,null,Controller No subsystem (Controler)
2020-06-13T00:00:00.000+0000,2020-06-14T00:00:00.000+0000,61030391,ZCS7: T097 - Replaced Yaw Gear,Turbine 6,1,null,null
2020-06-13T00:00:00.000+0000,2020-06-24T00:00:00.000+0000,61030391,ZCS7: T097 - Replaced Yaw Gear,Turbine 6,1,null,Yaw Yaw unit 1
2020-06-12T00:00:00.000+0000,2020-06-12T00:00:00.000+0000,61030600,ZCS7: Gear Oil Level Sensor - Replaced,Turbine 13,1,null,null
2020-06-12T00:00:00.000+0000,2020-06-24T00:00:00.000+0000,61077335,ZCS3: Blade C RE10m Web Crack Repair,Turbine 13,1,null,null
2020-06-16T00:00:00.000+0000,2020-06-16T00:00:00.000+0000,61077335,ZCS3: Blade C RE10m Web Crack Repair,Turbine 13,1,null,Blades Pressure side (Blades)
2020-06-16T00:00:00.000+0000,2020-06-16T00:00:00.000+0000,61079804,ZCS7: Converter coolant hose - repaired,Turbine 7,1,null,null
2020-06-17T00:00:00.000+0000,2020-06-17T00:00:00.000+0000,61079804,ZCS7: Converter coolant hose - repaired,Turbine 7,1,null,Converter Cooling system
2020-06-17T00:00:00.000+0000,2020-06-17T00:00:00.000+0000,61085156,ZCS7: Yaw Gear 1,Turbine 1,1,null,null
2020-06-19T00:00:00.000+0000,2020-06-19T00:00:00.000+0000,61085156,ZCS7: Yaw Gear 1,Turbine 1,1,null,Yaw Yaw unit 1
2020-06-24T00:00:00.000+0000,2020-06-24T00:00:00.000+0000,61091012,ZCS7: 4112 : Gearoil level too low,Turbine 16,1,null,null
2020-06-22T00:00:00.000+0000,2020-06-25T00:00:00.000+0000,61102081,ZCS7: 4101 : Gear oil temperature warning,Turbine 19,1,null,null
2020-06-23T00:00:00.000+0000,2020-06-25T00:00:00.000+0000,61103731,ZCS7: 4102 : Gear oil temperature high,Turbine 3,1,null,null
2020-06-22T00:00:00.000+0000,2020-06-22T00:00:00.000+0000,61105558,ZCS7: Vienna II T-50 blades C and B internal,Turbine 19,1,null,null
2020-06-25T00:00:00.000+0000,2020-06-25T00:00:00.000+0000,61105977,ZCS7: Yaw gear #3,Turbine 4,1,null,null
2020-06-25T00:00:00.000+0000,2020-06-25T00:00:00.000+0000,61105977,ZCS7: Yaw gear #3,Turbine 4,1,null,Yaw Yaw unit 3
2020-06-29T00:00:00.000+0000,2020-06-29T00:00:00.000+0000,61106012,ZCS7: 63016 : Smoke in the inverter,Turbine 20,1,null,null
2020-06-30T00:00:00.000+0000,2020-06-30T00:00:00.000+0000,61106517,ZCS7: 4112 : Gearoil level too low,Turbine 9,1,null,null
2020-06-30T00:00:00.000+0000,2020-06-30T00:00:00.000+0000,61106817,ZCS7: Gear oil temp,Turbine 1,1,null,null
2020-06-30T00:00:00.000+0000,2020-06-30T00:00:00.000+0000,61106817,ZCS7: Gear oil temp,Turbine 1,1,null,Transmission Cooling system
2020-06-30T00:00:00.000+0000,2020-06-30T00:00:00.000+0000,61107985,ZCS7: Hydraulic pump coupling - replaced,Turbine 14,1,null,null
2021-02-10T00:00:00.000+0000,2021-02-10T00:00:00.000+0000,61107985,ZCS7: Hydraulic pump coupling - replaced,Turbine 14,1,null,Hydraulics Pump station
2021-02-10T00:00:00.000+0000,2021-02-10T00:00:00.000+0000,61107986,ZCS7: Converter coolant hose - repaired,Turbine 14,1,null,null
2021-02-26T00:00:00.000+0000,2021-02-26T00:00:00.000+0000,61107986,ZCS7: Converter coolant hose - repaired,Turbine 14,1,null,Converter Cooling system
2021-02-10T00:00:00.000+0000,2021-02-10T00:00:00.000+0000,61108002,ZCS7: 15229 : GrdInv: 229 DSP comms failure,Turbine 2,1,null,null
2021-02-26T00:00:00.000+0000,2021-02-26T00:00:00.000+0000,61108759,ZCS7: 3144 : Hub: No feedback MTS-sens A,Turbine 19,1,null,null
2021-02-08T00:00:00.000+0000,2021-02-08T00:00:00.000+0000,61109204,ZCS7: Gearoil cooler motor - replaced,Turbine 7,1,null,null
2021-02-03T00:00:00.000+0000,2021-02-03T00:00:00.000+0000,61109204,ZCS7: Gearoil cooler motor - replaced,Turbine 7,1,null,Transmission Cooling system
2021-02-01T00:00:00.000+0000,2021-02-01T00:00:00.000+0000,61109205,ZCS7: Chain hoist - repaired,Turbine 13,1,null,null
2021-02-01T00:00:00.000+0000,2021-02-12T00:00:00.000+0000,61109205,ZCS7: Chain hoist - repaired,Turbine 13,1,null,Accessories No subsystem (Accessories)
2021-02-01T00:00:00.000+0000,2021-02-01T00:00:00.000+0000,61109652,ZCS7: Gearoil pump assembly - replaced,Turbine 13,1,null,null
2021-02-01T00:00:00.000+0000,2021-02-01T00:00:00.000+0000,61109846,ZCS7: Controller cabinet fan - replaced,Turbine 13,1,null,null
2021-02-09T00:00:00.000+0000,2021-02-14T00:00:00.000+0000,61109846,ZCS7: Controller cabinet fan - replaced,Turbine 13,1,null,Controller No subsystem (Controler)
2021-02-02T00:00:00.000+0000,2021-02-02T00:00:00.000+0000,61109851,ZCS7: Gear oil radiator - cleaned,Turbine 11,1,null,Transmission Cooling system
2021-02-02T00:00:00.000+0000,2021-02-02T00:00:00.000+0000,61111211,ZCS7: Gear oil temp,Turbine 3,1,null,null
2021-02-03T00:00:00.000+0000,2021-02-03T00:00:00.000+0000,61111314,ZCS7: Gearoil radiator - cleaned,Turbine 11,1,null,null
2021-02-03T00:00:00.000+0000,2021-02-03T00:00:00.000+0000,61111314,ZCS7: Gearoil radiator - cleaned,Turbine 11,1,null,Transmission Cooling system
2021-02-05T00:00:00.000+0000,2021-02-12T00:00:00.000+0000,61111378,ZCS7: Blade A valve error - Replaced,Turbine 14,1,null,null
2021-02-03T00:00:00.000+0000,2021-02-03T00:00:00.000+0000,61111378,ZCS7: Blade A valve error - Replaced,Turbine 14,1,null,Pitch Pitch system Blade A
2021-02-03T00:00:00.000+0000,2021-02-05T00:00:00.000+0000,61111577,ZCS7: Converter charging fuse - replaced,Turbine 14,1,null,null
2021-02-10T00:00:00.000+0000,2021-02-18T00:00:00.000+0000,61111577,ZCS7: Converter charging fuse - replaced,Turbine 14,1,null,Converter No subsystem (Converter)
2021-02-05T00:00:00.000+0000,2021-02-09T00:00:00.000+0000,61112226,ZCS7: LMU - replaced,Turbine 14,1,null,null
2021-02-05T00:00:00.000+0000,2021-02-05T00:00:00.000+0000,61112226,ZCS7: LMU - replaced,Turbine 14,1,null,Controller No subsystem (Controler)
2021-02-05T00:00:00.000+0000,2021-02-05T00:00:00.000+0000,61113154,ZCS7: 402 : TCM - Gearbox Inspection,Turbine 18,1,null,null
2021-02-05T00:00:00.000+0000,2021-02-05T00:00:00.000+0000,61113432,ZCS7: 4101 : Gear oil temperature warning,Turbine 2,1,null,null
2021-02-05T00:00:00.000+0000,2021-02-05T00:00:00.000+0000,61113622,ZCS7: Blade A valve error,Turbine 4,1,null,null
2021-02-05T00:00:00.000+0000,2021-02-05T00:00:00.000+0000,61113622,ZCS7: Blade A valve error,Turbine 4,1,null,Pitch Pitch system Blade B
2021-02-08T00:00:00.000+0000,2021-02-08T00:00:00.000+0000,61113818,ZCS7: 4101 : Gear oil temperature warning,Turbine 2,1,null,null
2021-02-24T00:00:00.000+0000,2021-02-24T00:00:00.000+0000,61113867,ZCS7: Converter DC charge fuse - replaced,Turbine 7,1,null,null
2021-02-09T00:00:00.000+0000,2021-02-24T00:00:00.000+0000,61113867,ZCS7: Converter DC charge fuse - replaced,Turbine 7,1,null,Converter No subsystem (Converter)
2021-02-10T00:00:00.000+0000,2021-02-10T00:00:00.000+0000,61113870,ZCS7: 10 bar brake accumulator - replaced,Turbine 15,1,null,null
2021-02-22T00:00:00.000+0000,2021-02-28T00:00:00.000+0000,61113870,ZCS7: 10 bar brake accumulator - replaced,Turbine 15,1,null,Brakes Pump station
2021-02-17T00:00:00.000+0000,2021-02-17T00:00:00.000+0000,61114134,ZCS7: Coolant expansion tank - replaced,Turbine 14,1,null,null
2021-02-17T00:00:00.000+0000,2021-02-17T00:00:00.000+0000,61114134,ZCS7: Coolant expansion tank - replaced,Turbine 14,1,null,Converter Cooling system
2021-02-17T00:00:00.000+0000,2021-02-17T00:00:00.000+0000,61116869,ZCS7: Converter cabinet fan - replaced,Turbine 11,1,null,null
2021-02-17T00:00:00.000+0000,2021-02-17T00:00:00.000+0000,61116869,ZCS7: Converter cabinet fan - replaced,Turbine 11,1,null,Converter No subsystem (Converter)
2021-02-17T00:00:00.000+0000,2021-02-25T00:00:00.000+0000,61117062,ZCS7: 10128 : Too many yaw conv. errors,Turbine 16,1,null,null
2021-02-19T00:00:00.000+0000,2021-02-24T00:00:00.000+0000,61117162,ZCS7: 10128 : Too many yaw conv. errors,Turbine 17,1,null,null
2021-02-19T00:00:00.000+0000,2021-02-24T00:00:00.000+0000,61117883,ZCS7: 8455 : TCM-VS vibr planet high incr,Turbine 18,1,null,null
2021-02-23T00:00:00.000+0000,2021-02-27T00:00:00.000+0000,61117909,ZCS7: 3236 : HubCheck valve fail - Stopped,Turbine 17,1,null,null
2021-02-25T00:00:00.000+0000,2021-02-26T00:00:00.000+0000,61118060,ZCS7: 15229: GrdInv: 229 DSP comms failure,Turbine 2,1,null,null
2021-02-22T00:00:00.000+0000,2021-02-22T00:00:00.000+0000,61118148,ZCS7: 4101 : Gear oil temperature warning,Turbine 2,1,null,null
2021-02-23T00:00:00.000+0000,2021-02-23T00:00:00.000+0000,61118674,ZCS7: 8455 : TCM-VS vibr planet high incr,Turbine 18,1,null,null
